Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
LSO01173-ES19888	Flat Mirror, 2" OD x 1/8" Thick, L/4 Flatness, Protected Gold Coating, Inspected for ES19888-0X	488056	10	CMPv2 Galvo Systems	25
MFB05161-08-ES19535	Mirror Mount Assembly, AGV-HPO, 14mm X Mirror, Silicon Slab (Customer-owned), 1030nm/515nm/343nm Dielectric Coated	513792	10	CMPv2 Galvo Systems	1
MFB05159-08	Mirror Mount Assembly, AGV-HPO, 10mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	518522	10	CMPv2 Galvo Systems	1
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	491165	10	CMP-Galvo Systems	40
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	513910	10	CMP-Galvo Systems	5
MFR02060	ROTOR ASSY, 55MM GALVO MOTOR	491829	10	CMP-Galvo Systems	1
MFB05164-08	Mirror Mount Assembly, AGV-HPO, 20mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	515935	10	CMPv2 Galvo Systems	1
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	484252	10	CMP-Galvo Systems	10
LSO01173-ES19888	Flat Mirror, 2" OD x 1/8" Thick, L/4 Flatness, Protected Gold Coating, Inspected for ES19888-0X	497755	10	CMPv2 Galvo Systems	15
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	513909	10	CMP-Galvo Systems	5
MFB05158-08	Mirror Mount Assembly, AGV-HPO, 10mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	518521	10	CMPv2 Galvo Systems	1
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	465929	10	CMP-Galvo Systems	16
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	512168	10	CMP-Galvo Systems	39
MFB05161-08	Mirror Mount Assembly, AGV-HPO, 14mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	515932	10	CMPv2 Galvo Systems	1
ES19888-01	2" Fast Steering Mirror Assembly, Gen1	477438	30	CMPv2 Galvo Systems	10
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	495677	10	CMP-Galvo Systems	40
MFB05163-08	Mirror Mount Assembly, AGV-HPO, 20mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	515934	10	CMPv2 Galvo Systems	1
MFB05159-08	Mirror Mount Assembly, AGV-HPO, 10mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	520031	10	CMPv2 Galvo Systems	1
LSO01173-ES19888	Flat Mirror, 2" OD x 1/8" Thick, L/4 Flatness, Protected Gold Coating, Inspected for ES19888-0X	487204	10	CMPv2 Galvo Systems	30
MFB05158-08	Mirror Mount Assembly, AGV-HPO, 10mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	495941	10	CMPv2 Galvo Systems	2
MFB05161-08	Mirror Mount Assembly, AGV-HPO, 14mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	489352	10	CMPv2 Galvo Systems	1
MFB05159-08	Mirror Mount Assembly, AGV-HPO, 10mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	498657	10	CMPv2 Galvo Systems	1
ES19888-01	2" Fast Steering Mirror Assembly, Gen1	477436	30	CMPv2 Galvo Systems	8
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	491841	10	CMP-Galvo Systems	41
MFB32874-02-ES18795	Y Galvo Mirror Mount Assembly for AGV14HPO With W11 Mirrors	511259	10	CMP-Galvo Systems	1
MFB32874-01-ES18795	X Galvo Mirror Mount Assembly for AGV14HPO With W11 Mirrors	511286	10	CMP-Galvo Systems	1
MFB05162-08-ES19535	Mirror Mount Assembly, AGV-HPO, 14mm Y Mirror, Silicon Slab (Customer-owned), 1030nm/515nm/343nm Dielectric Coated	513793	10	CMPv2 Galvo Systems	1
MFB05161-08	Mirror Mount Assembly, AGV-HPO, 14mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	501383	10	CMPv2 Galvo Systems	1
MFB05162-08	Mirror Mount Assembly, AGV-HPO, 14mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	516984	10	CMPv2 Galvo Systems	1
MFB05162-08	Mirror Mount Assembly, AGV-HPO, 14mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	501384	10	CMPv2 Galvo Systems	1
MFB05161-08	Mirror Mount Assembly, AGV-HPO, 14mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	499027	10	CMPv2 Galvo Systems	1
ES19888-01	2" Fast Steering Mirror Assembly, Gen1	477438	40	CMPv2 Galvo Systems	10
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	513911	10	CMP-Galvo Systems	5
MFB05159-08	Mirror Mount Assembly, AGV-HPO, 10mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	515931	10	CMPv2 Galvo Systems	1
MFB05161-08	Mirror Mount Assembly, AGV-HPO, 14mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	516983	10	CMPv2 Galvo Systems	1
MFB05162-08	Mirror Mount Assembly, AGV-HPO, 14mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	489354	10	CMPv2 Galvo Systems	1
MFB05158-08	Mirror Mount Assembly, AGV-HPO, 10mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	515930	10	CMPv2 Galvo Systems	1
MFE04104	MOTOR AEROTECH 48MM GALVO	515786	10	CMPv2 Galvo Motors	10
MFE04127	MOTOR AEROTECH 48MM GALVO, AGVXPO-E1	481413	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	514647	10	CMPv2 Galvo Motors	10
MFE04127	MOTOR AEROTECH 48MM GALVO, AGVXPO-E1	481409	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	492647	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	493417	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	495658	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	481081	10	CMPv2 Galvo Motors	10
MFE04127	MOTOR AEROTECH 48MM GALVO, AGVXPO-E1	474832	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	492649	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	491021	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	484062	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	492149	10	CMPv2 Galvo Motors	10
20031-05	48mm Galvo Motor, No Encoder	501577	10	CMPv2 Galvo Motors	1
MFE04104	MOTOR AEROTECH 48MM GALVO	520203	10	CMPv2 Galvo Motors	10
MFE04104	MOTOR AEROTECH 48MM GALVO	510976	10	CMPv2 Galvo Motors	10
